timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673376849046,384,object_info_1,200,OK,Thread Group 1-98,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,384,0,46
1673376848792,640,HTTP Request test,200,OK,Thread Group 1-417,text,true,,195,128,600,600,http://162.55.220.72:5005/first,640,0,41
1673376849055,379,HTTP Request test,200,OK,Thread Group 1-97,text,true,,195,128,600,600,http://162.55.220.72:5005/first,379,0,46
1673376847774,1664,object_info_1,200,OK,Thread Group 1-494,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1664,0,1051
1673376847774,1665,get_method,200,OK,Thread Group 1-83,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,1665,0,1051
1673376847774,1668,get_method,200,OK,Thread Group 1-506,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,1668,0,1051
1673376846061,3382,object_info_1,200,OK,Thread Group 1-539,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,3382,0,3054
1673376845769,3674,get_method,200,OK,Thread Group 1-315,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,3674,0,3056
1673376849068,377,get_method,200,OK,Thread Group 1-498,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,377,0,43
1673376849067,378,get_method,200,OK,Thread Group 1-167,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,378,0,44
1673376849078,367,object_info_1,200,OK,Thread Group 1-229,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,367,0,41
1673376849075,385,get_method,200,OK,Thread Group 1-526,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,385,0,44
1673376847486,1974,object_info_1,200,OK,Thread Group 1-591,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1973,0,1057
1673376849074,386,get_method,200,OK,Thread Group 1-367,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,386,0,45
1673376849084,376,get_method,200,OK,Thread Group 1-313,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,376,0,45
1673376849078,382,HTTP Request test,200,OK,Thread Group 1-413,text,true,,195,128,600,600,http://162.55.220.72:5005/first,382,0,47
1673376848805,655,HTTP Request test,200,OK,Thread Group 1-41,text,true,,195,128,600,600,http://162.55.220.72:5005/first,655,0,45
1673376848818,643,get_method,200,OK,Thread Group 1-403,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,643,0,45
1673376849085,376,object_info_1,200,OK,Thread Group 1-584,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,376,0,45
1673376848805,659,object_info_1,200,OK,Thread Group 1-171,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,659,0,48
1673376848816,653,object_info_1,200,OK,Thread Group 1-578,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,653,0,44
1673376848816,658,HTTP Request test,200,OK,Thread Group 1-337,text,true,,195,128,600,600,http://162.55.220.72:5005/first,657,0,47
1673376848807,667,get_method,200,OK,Thread Group 1-253,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,667,0,46
1673376849092,385,get_method,200,OK,Thread Group 1-240,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,385,0,48
1673376849095,390,HTTP Request test,200,OK,Thread Group 1-384,text,true,,195,128,600,600,http://162.55.220.72:5005/first,390,0,45
1673376848817,669,get_method,200,OK,Thread Group 1-66,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,669,0,46
1673376849096,392,get_method,200,OK,Thread Group 1-523,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,392,0,47
1673376849100,393,get_method,200,OK,Thread Group 1-458,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,393,0,43
1673376849093,400,get_method,200,OK,Thread Group 1-544,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,400,0,43
1673376848815,678,HTTP Request test,200,OK,Thread Group 1-512,text,true,,195,128,600,600,http://162.55.220.72:5005/first,678,0,48
1673376849099,395,object_info_1,200,OK,Thread Group 1-147,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,395,0,51
1673376849110,390,get_method,200,OK,Thread Group 1-516,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,389,0,42
1673376849109,391,object_info_1,200,OK,Thread Group 1-349,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,391,0,43
1673376848101,1410,HTTP Request test,200,OK,Thread Group 1-150,text,true,,195,128,600,600,http://162.55.220.72:5005/first,1410,0,50
1673376849105,406,get_method,200,OK,Thread Group 1-2,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,406,0,47
